STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,110,496800,3616,+41.745700,-072.723899
09,110,496900,6179,+41.760045,-072.727525
09,110,497000,4279,+41.773981,-072.733074
09,110,497100,4041,+41.766900,-072.730341
09,110,497200,2478,+41.782639,-072.726621
09,110,497300,5467,+41.796512,-072.731903
09,110,497400,4068,+41.776581,-072.753372
09,110,497500,3972,+41.792691,-072.753827
09,110,497600,2246,+41.763399,-072.751396
09,110,497700,4451,+41.776203,-072.772808
09,110,500100,3720,+41.745440,-072.678157
09,110,500200,2179,+41.749967,-072.677050
09,110,500300,1937,+41.756043,-072.678373
09,110,500400,1862,+41.755040,-072.668231
09,110,500500,1533,+41.758827,-072.672952
09,110,500900,2027,+41.780458,-072.674027
09,110,501200,2552,+41.790716,-072.679725
09,110,501300,1707,+41.787665,-072.675712
09,110,501400,2627,+41.781789,-072.689691
09,110,501500,3783,+41.788559,-072.685310
09,110,501700,1512,+41.775634,-072.683343
09,110,501800,2898,+41.779265,-072.682241
09,110,502100,2832,+41.765958,-072.675295
09,110,502300,5910,+41.733640,-072.681617
09,110,502400,5582,+41.739012,-072.676182
09,110,502500,1768,+41.734742,-072.670765
09,110,502600,3743,+41.739772,-072.688854
09,110,502700,5001,+41.747732,-072.687129
09,110,502800,2971,+41.755943,-072.687102
09,110,502900,2776,+41.758155,-072.693999
09,110,503000,2978,+41.760987,-072.687221
09,110,503101,1677,+41.765654,-072.697885
09,110,503102,2851,+41.769482,-072.698994
09,110,503300,2617,+41.771701,-072.693332
09,110,503500,1616,+41.778284,-072.691151
09,110,503700,2450,+41.782951,-072.699430
09,110,503800,2473,+41.798900,-072.714837
09,110,503900,4772,+41.801239,-072.699868
09,110,504000,3365,+41.792882,-072.698377
09,110,504100,1918,+41.759166,-072.705968
09,110,504200,4713,+41.765873,-072.707476
09,110,504300,2022,+41.753297,-072.710645
09,110,504500,3478,+41.741889,-072.698715
09,110,504800,4576,+41.732291,-072.697911
09,110,504900,4342,+41.749258,-072.699509
09,110,510100,2224,+41.786440,-072.634771
09,110,510200,2367,+41.769468,-072.647778
09,110,510300,4185,+41.784631,-072.624130
